0,0
1,1
2,0
3,0
4,1
5,0
6,0
7,1
8,1
9,0
11,0
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,1
20,0
21,0
23,1
24,1
25,0
26,1
27,0
28,0
30,0
31,1
32,1
34,1
35,0
37,1
38,0
40,0
42,0
43,1
44,1
45,0
46,0
48,1
49,1
50,1
51,1
52,1
53,1
55,0
56,0
57,0
59,1
60,0
61,0
62,0
63,1
64,1
66,1
67,0
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,1
77,1
78,0
79,1
80,0
81,0
82,0
86,0
87,1
89,1
90,1
92,1
94,1
95,0
96,1
97,0
98,1
99,0
100,1
101,1
103,0
104,1
105,0
106,0
109,1
110,0
112,1
113,1
114,1
115,0
117,1
118,1
119,1
120,1
122,1
123,0
125,1
126,0
128,0
129,0
130,0
131,0
134,0
135,0
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,0
145,0
147,0
149,0
150,1
152,0
153,1
154,0
155,0
156,1
157,1
158,0
159,1
161,0
162,1
164,0
165,1
166,0
167,0
169,1
171,0
172,0
174,0
175,1
176,1
177,0
178,1
179,1
180,0
181,1
182,1
184,1
185,0
186,1
187,0
189,0
190,0
192,0
193,0
194,1
195,0
196,1
197,1
198,1
201,0
202,0
203,1
204,1
206,0
207,1
208,1
209,0
210,0
212,1
213,1
214,1
215,0
217,0
218,1
220,1
221,0
222,1
223,0
224,1
226,0
228,0
229,0
230,1
231,1
232,0
234,1
235,0
236,0
237,0
238,1
239,1
240,1
241,1
242,0
245,0
246,1
247,0
248,1
250,1
251,0
252,1
253,0
254,0
257,0
258,1
259,0
260,0
261,0
262,1
263,1
264,1
269,0
270,0
272,1
275,1
276,0
277,0
278,0
279,1
280,1
281,0
283,1
284,1
285,0
287,1
291,0
293,0
294,0
295,0
296,1
298,0
299,0
300,0
302,0
303,0
305,1
306,1
307,0
308,0
309,1
310,0
311,0
313,0
314,1
315,1
316,0
317,1
318,0
319,1
320,0
321,0
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,1
330,1
331,1
333,1
334,0
335,0
336,0
337,0
338,1
340,1
341,0
343,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,0
354,1
355,0
356,1
359,1
360,0
361,1
362,1
363,0
364,1
367,1
368,1
369,1
370,1
371,1
372,0
373,0
374,1
375,1
376,1
377,1
378,0
379,0
381,0
383,1
385,1
386,0
387,0
388,0
389,0
390,1
391,1
392,0
393,0
394,0
395,1
396,0
397,1
398,0
399,0
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,0
409,1
411,1
412,1
414,1
415,0
